type,Total,Time,NSample,Mem,optim
double,46448.7,2322.43,20,34359.7,transform
double,22308.5,1115.43,20,17179.9,transform
double,11168,558.398,20,8589.93,transform
double,5624.02,281.201,20,4294.97,transform
double,2805.04,140.252,20,2147.48,transform
double,1391.69,69.5846,20,1073.74,transform
double,697.716,34.8858,20,536.871,transform
double,339.95,16.9975,20,268.435,transform
double,167.395,8.36976,20,134.218,transform
double,79.001,3.95005,20,67.1089,transform
double,28.463,1.42315,20,33.5544,transform
double,10.5753,0.528765,20,16.7772,transform
double,3.48966,0.174483,20,8.38861,transform
double,1.56993,0.0784964,20,4.1943,transform
double,0.762523,0.0381261,20,2.09715,transform
double,0.41229,0.0206145,20,1.04858,transform
double,0.135227,0.00676135,20,0.524288,transform
double,0.066459,0.00332295,20,0.262144,transform
double,0.030509,0.00152545,20,0.131072,transform
double,0.014217,0.00071085,20,0.065536,transform
double,0.006731,0.00033655,20,0.032768,transform
double,0.003821,0.00019105,20,0.016384,transform
double,0.001421,7.105e-05,20,0.008192,transform
double,0.001194,5.97e-05,20,0.004096,transform
double,0.000616,3.08e-05,20,0.002048,transform
double,32713.2,1635.66,20,34359.7,mipp
double,15948.8,797.44,20,17179.9,mipp
double,7978.82,398.941,20,8589.93,mipp
double,3987.5,199.375,20,4294.97,mipp
double,1991.46,99.5732,20,2147.48,mipp
double,998.987,49.9493,20,1073.74,mipp
double,494.228,24.7114,20,536.871,mipp
double,245.193,12.2596,20,268.435,mipp
double,121.445,6.07223,20,134.218,mipp
double,58.9715,2.94857,20,67.1089,mipp
double,26.3904,1.31952,20,33.5544,mipp
double,9.24656,0.462328,20,16.7772,mipp
double,2.50124,0.125062,20,8.38861,mipp
double,1.1475,0.0573752,20,4.1943,mipp
double,0.531492,0.0265746,20,2.09715,mipp
double,0.24532,0.012266,20,1.04858,mipp
double,0.093404,0.0046702,20,0.524288,mipp
double,0.033564,0.0016782,20,0.262144,mipp
double,0.016067,0.00080335,20,0.131072,mipp
double,0.007847,0.00039235,20,0.065536,mipp
double,0.003617,0.00018085,20,0.032768,mipp
double,0.00196,9.8e-05,20,0.016384,mipp
double,0.000967,4.835e-05,20,0.008192,mipp
double,0.000514,2.57e-05,20,0.004096,mipp
double,0.000308,1.54e-05,20,0.002048,mipp
